Title,Genre,Director,Actors
aval varuvala,mystery,raj kapoor,"ajith kumar, simran, sujatha, babloo prithviraj"
avasara police 100,"action, crime, thriller",bhagyaraj,"bhagyaraj, mounika, nambiar, m.n. nambiar"
avvai shanmugi,"comedy, drama",k.s. ravikumar,"kamal haasan, meena, gemini ganesan, nassar"
ayan,action,k.v. anand,"suriya, tamannaah bhatia, prabhu, jagan"
ayirathil oruvan,"action, adventure",b. ramakrishnaiah panthulu,"jayalalitha j, r.s. manohar, nagesh, m.n. nambiar"
ayitha ezhuthu,"action, drama, thriller",mani ratnam,"suriya, madhavan, siddharth, meera jasmine"
ayudha pooja,"action, crime, drama",shivakumar,"nagesh, roja, arjun sarja, urvashi"
azagiya theeye,drama,radha mohan,"devadarshini chetan, navya nair, prasanna, prakash raj"
azhagar samiyin kuthirai,drama,suseenthiran,"appukutty, saranya mohan, prabhakar, advaitha"
azhagi,"drama, romance",thangar bachan,"parthiban, nandita das, devayani, sayaji shinde"
azhagiya tamilmagan,"action, drama, thriller",bharathan,"joseph vijay, shriya saran, namitha, sayaji shinde"
baasha,"action, crime, drama",suresh krishna,"rajinikanth, nagma, raghuvaran, vijayakumar"
badri,"action, sport",p.a. arun prasad,"joseph vijay, bhoomika chawla, monal, vivek"
bagavathi,"action, drama",a. venkatesh,"joseph vijay, reema sen, vadivelu, ashish vidyarthi"
bairavaa,"action, thriller",bharathan,"joseph vijay, keerthy suresh, jagapathi babu, daniel balaji"
bale pandiya,"comedy, romance",b. ramakrishnaiah panthulu,"shivaji ganesan, m.r. radha, devika, k. balaji"
bangalore naatkal,drama,bhaskar,"arya, sri divya, bobby simha, rana daggubati"
bheemaa,action,n. linguswamy,"vikram, trisha krishnan, prakash raj, raghuvaran"
bigil,"action, drama, sport",atlee kumar,"joseph vijay, nayanthara, jackie shroff, vivek"
billa,"action, thriller",vishnuvardhan,"ajith kumar, nayanthara, rahman, namitha"
billa 2,"action, thriller",chakri toleti,"ajith kumar, parvathy omanakuttan, bruna abdullah, sudhanshu pandey"
bogan,"action, thriller",lakshman,"jayam ravi, arvind swamy, hansika motwani, nassar"
bombay,"drama, musical, romance",mani ratnam,"arvind swamy, manisha koirala, nassar, kitty"
boologam,action,n. kalyanakrishnan,"jayam ravi, trisha krishnan, prakash raj, nathan jones"
boss engira baskaran,comedy,m. rajesh,"arya, nayanthara, santhanam, subbu panchu"
brahma,action,gopal b.,"aishwarya, annapoorna, mohan babu, tanikella bharani"
captain prabhakaran,"action, thriller",r.k. selvamani,"mansoor ali khan, sarath kumar, ramya krishnan, roobini"
chachi 420,"comedy, drama, family",kamal haasan,"kamal haasan, amrish puri, om puri, tabu"
chak de india,sports,shimit amin,"shah rukh khan, vidya malavade, sagarika ghatge"
chandi veeran,"action, drama, romance",a. sarkunam,"atharvaa murali, anandhi, lal, bose venkat"
chandramukhi,"action, comedy, fantasy",p. vasu,"rajinikanth, jyotika, prabhu, nayanthara"
chennai 600028,"comedy, romance, sport",venkat prabhu,"shiva, jai, nitin sathya, premgi amaren"
chinna gounder,"drama, romance, thriller",r.v. udhaya kumar,"salim ghouse, aachi manorama, sukanya, vadivelu"
chinna thambi,"drama, romance",p. vasu,"prabhu, kushboo, aachi manorama, radha ravi"
citizen,"action, drama, mystery",saravana subaiya,"vasundhara das, devan, cochin hanifa, ajith kumar"
coco kokila,"comedy, crime, drama",nelson,"nayanthara, saranya ponvannan, saravanan, yogi babu"
crime 23,"action, crime, thriller",arivazhagan venkatachalam,"arun vijay, abhinaya, aishwarya, aravind akash"
cuckoo,"drama, romance",raju murugan,"dinesh, malavika nair, elango, somasundaram"
damaal dumeel,"comedy, crime, drama",shree,"vaibhav reddy, ramya nambeeshan, sayaji shinde, srinivasa rao kota"
darling,"comedy, horror",sam anton,"g.v. prakash kumar, nikki galrani, srushti dange, karunas"
dasavatharam,"action, adventure, sci-fi",k.s. ravikumar,"kamal haasan, asin thottumkal, jaya prada, mallika sherawat"
dashing detective,"action, crime, thriller",myshkin,"vishal, prasanna, vinay rai, anu emmanuel"
david,"action, crime, drama",bejoy nambiar,"vikram, neil nitin mukesh, vinay virmani, tabu"
deiva thirumagal,"drama, family, musical",a.l. vijay,"vikram, anushka shetty, amala paul, nassar"
demonte colony,"horror, thriller",r. ajay gnanamuthu,"arulnithi, ramesh thilak, sananth reddy, m.s. bhaskar"
devathayai kanden,drama,boopathy pandian,"dhanush, sridevi vijaykumar"
devi(l),"comedy, horror",a.l. vijay,"tamannaah bhatia, prabhu deva, sonu sood, amy jackson"
dharmadurai,drama,seenu ramasamy,"vijay sethupathi, tamannaah bhatia, aishwarya rajesh, srushti dange"
dhavani kannavukal,drama,bhagyaraj,"bhagyaraj, shivaji ganesan, parthiban, radhika sarathkumar"
dheena,action,a.r. murugadoss,"ajith kumar, suresh gopi, laila, mahanadhi shankar"
dhill,"action, drama",dharani,"vikram, laila, ashish vidyarthi, nassar"
dhilluku dhuddu,"comedy, horror",rambala,"santhanam, shanaya, karunas, motta rajendran"
dhool,"action, drama",dharani,"vikram, jyotika, reema sen, sayaji shinde"
dhuruvangal pathinaaru,"action, crime, mystery",karthick naren,"rahman, prakash raghavan, sharath kumar, santhosh krishna"
dil se..,"drama, romance",mani ratnam,"shah rukh khan, manisha koirala, preity zinta, raghuvir yadav"
dilwale dulhania le jayenge,love,aditya chopra,"shah rukh khan, kajol, anupam kher"
dreams,drama,kasthuri raja,"brahmanandam, dhanush, chandreyi ghosh, niraj"
duet,"musical, romance",k. balachander,"prabhu, ramesh aravind, meenakshi sheshadri, prakash raj"
ejamaan,"drama, romance",r.v. udhaya kumar,"rajinikanth, meena, napolean, aishwarya"
ek duuje ke liye,"drama, musical, romance",k. balachander,"kamal haasan, rati agnihotri, madhavi, sunil thapa"
em magan,"drama, romance",thirumurugan,"bharath srinivasan, gopika, nassar, vadivelu"
enakku innoru per irukku,"action, comedy, crime",sam anton,"g.v. prakash kumar, anandhi, nirosha, saravanan"
enga amma rani,action,s. bani,"dhansika, anil murali, namo narayana, varnika"
enga veetu pillai,"action, comedy, drama",tapi chanakya,"saroja devi b., nagesh, m.n. nambiar, pandharibai"
engeyum eppodhum,"comedy, drama, family",m. saravanan,"jai, sharwanand, anjali, ananya"
engeyum kadhal,romance,prabhu deva,"jayam ravi, hansika motwani, suman, raju sundaram"
english karan,comedy,sakthi chidambaram,"sathyaraj, namitha, madhumitha, vadivelu"
ennai thalatta varuvala,"action, romance",k.s. raveendran,"jai ganesh, ajith kumar, raghuvaran, reshma"
enthiran,"action, sci-fi",s. shankar,"rajinikanth, aishwarya rai bachchan, danny denzongpa, santhanam"
ethir neechal,"comedy, romance, sport",r.s. durai senthilkumar,"sivakarthikeyan, priya anand, nandita shwetha, sharath lohitashwa"
evano oruvan,"drama, thriller",nishikant kamat,"madhavan, sangeetha, seeman, devadarshini chetan"
friends,"drama, comedy, romance",siddique,"joseph vijay, suriya, ramesh khanna, devayani"
game,"action, mystery, thriller",a.m.r. ramesh,"arjun sarja, manisha koirala, shaam, aqsa bhatt"
gemini,"action, comedy, crime",saran,"vikram, kiran rathod, kalabhavan mani, murali"
gentleman,"action, drama, thriller",s. shankar,"rajan p. dev, prabhu deva, gautami, goundamani"
ghajini,"action, drama, mystery",a.r. murugadoss,"suriya, asin thottumkal, nayanthara, pradeep singh rawat"
ghilli,"action, romance",dharani,"joseph vijay, trisha krishnan, prakash raj, ashish vidyarthi"
girls,"horror, thriller",thulasidas,"nadia moidu, iniya, archana suseelan"
good newwz,comedy,raj mehta,"kareena kapoor, akshay kumar, kiara advani"
gopura vasalile,"comedy, romance",priyadarshan,"karthik, bhanupriya, suchitra, junior balaiya"
guna,"drama, romance",santhana bharathi,"kamal haasan, roshini, rekha, varalakshmi s."
guru,"action, crime, drama",i.v. sasi,"kamal haasan, sridevi, y.g. mahendran, mohan babu"
haridas,"drama, sport, thriller",kumaravelan,"kishore kumar g., sneha, prithviraj das, soori"
hey ram,"crime, drama, history",kamal haasan,"kamal haasan, shah rukh khan, rani mukerji, hema malini"
house full,thriller,parthiban,"parthiban, vadivelu, roja, suvalakshmi"
i,"action, drama, thriller",s. shankar,"vikram, amy jackson, suresh gopi, upen patel"
idharkuthane aasaipattai balakumara,comedy,gokul,"vijay sethupathi, ashwin kakumanu, swathi reddy, nandita shwetha"
idhayam,"drama, romance",kathir,"chinnijayanth, janakaraj, aachi manorama, murali"
imsai arasan 23 m pulikesi,comedy,chimbudeven,"vadivelu, nassar, nagesh, aachi manorama"
indian,"action, drama, thriller",s. shankar,"kamal haasan, sukanya, manisha koirala, urmila matondkar"
indru netru naalai,"comedy, sci-fi, thriller",r. ravikumar,"vishnu vishal, mia george, karunakaran, v. jayaprakash"
indru poyi naalai vaa,comedy,bhagyaraj,"bhagyaraj, radhika sarathkumar, kallapatti singaram"
indrudu chandrudu,"comedy, drama",suresh krishna,"kamal haasan, vijayshanti, charan raj, narayana p.l."
inkokkadu,"action, sci-fi, thriller",anand shankar,"vikram, nayanthara, nithya menon, thambi ramaiah"
iraivi,"crime, drama",karthik subbaraj,"s.j. suryah, vijay sethupathi, bobby simha, anjali"
irandam ulagam,"action, fantasy, romance",k. selvaraghavan,"arya, anushka shetty, jaya bachchan, venkatesh harinathan"
iruvar,"biography, drama",mani ratnam,"mohanlal, prakash raj, aishwarya rai bachchan, gautami"
isai,"musical, romance, thriller",s.j. suryah,"s.j. suryah, sathyaraj, sulagna panigrahi, thambi ramaiah"
iyarkai,romance,s.p. jhananathan,"sima bisvas, chinnijayanth, karunas, radhika kumaraswamy"
jana,"action, drama",shaji kailas,"ajith kumar, sneha, delhi ganesh, manoj k. jayan"
jayasurya,"action, thriller",suseenthiran,"vishal, kajal aggarwal, samuthirakani, soori"
jeans,"comedy, drama, romance",s. shankar,"prashanth, aishwarya rai bachchan, nassar, senthil"
jeeva,"drama, sport",suseenthiran,"vishnu vishal, sri divya, soori, lakshman narayan"
ji,"action, drama",n. linguswamy,"ajith kumar, trisha krishnan, charan raj, venkat prabhu"
jigarthanda,"action, crime, drama",karthik subbaraj,"siddharth, bobby simha, lakshmi menon, nassar"
jilla,"action, drama",r.t. neason,"mohanlal, joseph vijay, kajal aggarwal, sampath raj"
jilla,comedy,nelson,"joseph vijay, mohanlal, nivetha thomas"
jodi,romance,praveenkanth,"sakthi chidambaram, isha koppikar, sennalkudi lakshmi, nassar"
johnny,"action, crime, drama",j. mahendran,"rajinikanth, k. balaji, unni mary, suruli rajan"
june r,"drama, family",revathy s. varma,"jyotika, saritha, kushboo, suriya"
kaadhal,romance,balaji sakthivel,"bharath srinivasan, sandhya, sukumar, kadhal thandapani"
kaadhal konden,"drama, musical, thriller",k. selvaraghavan,"dhanush, sonia agarwal, sudip, daniel balaji"
kaadhale nimmadhi,"drama, romance",indiran,"geetha, manivannan, murali, nassar"
kaakha..kaakha: the police,"action, crime, drama",gautham vasudev menon,"suriya, jyotika, 'university' jeevan, daniel balaji"
kaakkaa muttai,"comedy, drama",m. manikandan,"ramesh, j. vignesh, aishwarya rajesh, ramesh thilak"
kaappaan,"action, thriller",k.v. anand,"suriya, mohanlal, chris wilson, boman irani"
kaashmora,"action, comedy, fantasy",gokul,"karthi, nayanthara, sri divya, vivek"
kaathala kaathala,"comedy, drama, romance",singeetam srinivasa rao,"kamal haasan, prabhu deva, soundarya, rambha"
kaavalan,"action, drama, romance",siddique,"joseph vijay, asin thottumkal, raj kiran, vadivelu"
kaaviya thalaivan,"drama, history, music",vasanthabalan,"siddharth, prithviraj sukumaran, vedika, anaika soti"
kabhi kushi kabhi gham,family,karan johan,"shah rukh khan, amitab bachan, kajol, hrithik roshan, kareena kapoor"
kadal,"drama, romance",mani ratnam,"arjun sarja, arvind swamy, gautham karthik, thulasi nair"
kadalikka neramillai,"comedy, romance",c.v. sridhar,"t.s. balaiah, kanchana, r. muthuraman, nagesh"
kadaram kondan,"action, thriller",rajesh m. selva,"vikram, akshara haasan, abi hassan, lena"
kadhal desam,"comedy, drama, romance",kathir,"abbas, s.p. balasubrahmanyam, chaplin balu, chinnijayanth"
kadhal kottai,"drama, romance",ahathian,"ajith kumar, devayani, heera rajgopal, sabitha anand"
kadhal mannan,"drama, romance",saran,"ajith kumar, maanu, m.s. viswanathan, vivek"
kadhal sadugudu,"action, drama",v.z. dhorai,"vikram, priyanka upendra, prakash raj, alphonsa"
kadhalan,"action, drama, romance",s. shankar,"prabhu deva, nagma, vadivelu, s.p. balasubrahmanyam"
kadhalar dinam,"drama, musical, romance",kathir,"kunal, sonali bendre, nassar, goundamani"
kadhalil sodhappuvadhu yeppadi,"comedy, romance",balaji mohan,"siddharth, amala paul, suresh, ravi raghavendra"
kadhalukku mariyadhai,"drama, romance",fazil,"joseph vijay, shalini, charlie, dhamu"
kai kodukkam kai,"action, drama",j. mahendran,"chinnijayanth, y.g. mahendran, rajinikanth, revathi"
kalaignan,"action, drama, thriller",g.b. vijay,"kamal haasan, bindiya, farheen, chi gurudutt"
kalam,"drama, horror, mystery",robert raaj,"lakshmi priyaa chandramouli, amzath khan, srinivasan, madhusudhan rao"
kalki,"drama, romance",k. balachander,"prakash raj, shruti, rahman, geetha"
kalyana samayal saadham,"comedy, romance",r.s. prasanna,"prasanna, lekha washington, delhi ganesh, uma pathmanabhan"
kandukondain kandukondain,"drama, romance",rajiv menon,"ajith kumar, tabu, mammootty, aishwarya rai bachchan"
kanithan,"action, thriller",t. santhosh,"atharvaa murali, catherine tresa, tarun arora, bhagyaraj"
kannathil muthamittal,"action, drama, war",mani ratnam,"madhavan, simran, keerthana parthiepan, nandita das"
kannethirey thondrinal,romance,ravichandran,"prashanth, simran, karan, srividya"
kannukkul nilavu,"drama, mystery, romance",fazil,"joseph vijay, shalini, kaveri, raghuvaran"
kanthaswamy,action,susi ganesan,"vikram, shriya saran, prabhu, ashish vidyarthi"
kappal,"comedy, romance",karthik g. krish,"vaibhav reddy, sonam bajwa, karunakaran, vtv ganesh"
karnan,"action, drama, history",b. ramakrishnaiah panthulu,"shivaji ganesan, taraka rama rao nandamuri, s.a. ashokan, r. muthuraman"
karuththamma,"drama, romance",bharathiraja,"maheshwari, rajshri nair, periyadhasan, raja"
kasethan kadavulada,comedy,chitralaya gopu,"lakshmi, aachi manorama, venniradai moorthy, r. muthuraman"
kasi,drama,vinayan,"vikram, kavya madhavan, kaveri, manivannan"
katha solla porom,comedy,kalyaan,"arun aravind, aadukalam naren, kaali venkat"
kathakali,"action, thriller",pandiraj,"vishal, catherine tresa, karunas, imman annachi"
kathanayagan,comedy,tha. muruganatham,"meera krishna, saranya ponvannan, vijay sethupathi, catherine tresa"
kaththi,"action, drama",a.r. murugadoss,"joseph vijay, samantha ruth prabhu, neil nitin mukesh, tota roy chowdhury"
kattradhu thamizh,"drama, mystery",ram,"jiiva, anjali, karunas, azhagam perumal"
kayal,romance,prabu solomon,"chandran, anandhi, vincent, gemini rajeshwari"
keladi kanmani,drama,vasanth,"s.p. balasubrahmanyam, radhika sarathkumar, anju aravind, ramesh aravind"
khaidi,"action, thriller",lokesh kanagaraj,"karthi, narain, ramana, george maryan"
kidaari,action,prasath murugesan,"nadodigal gopal, shobha mohan, napolean, hareesh peradi"
kireedam,"action, drama",a.l. vijay,"ajith kumar, trisha krishnan, raj kiran, vivek"
kirumi,crime,anucharan,"charlie, david solomon raja, marimuthu, tamilselvi"
kizhakku seemayile,drama,bharathiraja,"vijayakumar, radhika sarathkumar, napolean, pandiyan"
ko,"action, thriller",k.v. anand,"jiiva, ajmal ameer, karthika nair, piaa bajpai"
kodi,"action, drama, thriller",r.s. durai senthilkumar,"dhanush, trisha krishnan, anupama parameshwaran, saranya ponvannan"
komban,"action, drama",m. muthaiah,"karthi, lakshmi menon, raj kiran, karunas"
kotigobba 2,"action, drama, thriller",k.s. ravikumar,"sudeep, nithya menon, prakash raj, p. ravi shankar"
kumki,drama,prabu solomon,"vikram prabhu, lakshmi menon, thambi ramaiah, ashwin raja"
kurangu bommai,"drama, thriller",nithilan,"vidharth, bharathiraja, delna davis, thenappan p.l."
kuruthipunal,"action, drama, thriller",p.c. sreeram,"kamal haasan, arjun sarja, nassar, gautami"
kuruvi,"action, comedy, drama",dharani,"joseph vijay, trisha krishnan, suman, vivek"
kuselan,"comedy, drama, family",p. vasu,"rajinikanth, pasupathy, meena, nayanthara"
kushi,"comedy, drama, romance",s.j. suryah,"jyotika, joseph vijay, mumtaj, shilpa shetty kundra"
kuttram kadithal,drama,bramma g.,"master ajay, radhika prasidhha, sai rajkumar, pavel navageethan"
kuttrame thandanai,"crime, drama, mystery",m. manikandan,"vidharth, pooja devariya, aishwarya rajesh, rahman"
kutty,"action, drama, romance",mithran jawahar,"vincent ashokan, swati bhatia, sammir dattani, dhanush"
lens,"drama, mystery, thriller",jayaprakash radhakrishnan,"anand sami, jayaprakash radhakrishnan, misha ghoshal, kulothungan udayakumar"
lightman,drama,g. venkatesh kumar,"karthik nagarajan, jennifer, vasagan, govindaswaminathan"
lucky man,"action, comedy, fantasy",prathap pothen,"karthik, sanghavi, goundamani, jayamani"
maan karate,"comedy, drama",thirukumaran,"sivakarthikeyan, hansika motwani, soori, vamsi krishna"
maanagaram,"action, thriller",lokesh kanagaraj,"sundeep kishan, sri, regina cassandra, charlie"
maari,"action, comedy, drama",balaji mohan,"dhanush, kajal aggarwal, vijay yesudas, robo shankar"
maari 2,"action, comedy",balaji mohan,"dhanush, kreshna, sai pallavi, varalaxmi sarathkumar"
maattrraan,"action, sci-fi, thriller",k.v. anand,"suriya, kajal aggarwal, sachin khedekar, thara"
maaveeran kittu,"action, drama",suseenthiran,"sri divya, parthiban, soori, vishnu vishal"
maayavan,"action, mystery, sci-fi",c.v. kumar,"sundeep kishan, lavanya tripathi, agaran, augustine"
madha yaanai koottam,"drama, thriller",vikram sugumaran,"kathir, anju, viji chandrashekhar, v. jayaprakash"
madras,"action, drama",pa. ranjith,"karthi, catherine tresa, kalaiyarasan, jayabalan"
madrasapattinam,"drama, history, romance",a.l. vijay,"arya, carole trangmar-palmer, amy jackson, cochin hanifa"
madurey,action,r. madhesh,"joseph vijay, sonia agarwal, rakshitha, vadivelu"
magalir mattum,"comedy, drama, thriller",singeetam srinivasa rao,"revathi, urvashi, rohini, nassar"
mahanadi,"crime, drama",santhana bharathi,"kamal haasan, sukanya, poornam vishwanathan, mahanadhi shobana"
mahanati,"biography, drama",nag ashwin,"keerthy suresh, dulquer salmaan, samantha ruth prabhu, vijay deverakonda"
maja,"action, comedy, romance",shafi,"vikram, asin thottumkal, pasupathy, anu prabhakar"
makkal aatchi,thriller,r.k. selvamani,"mammootty, roja"
malini 22,"drama, thriller",sripriya,"nithya menon, krrish, kovai sarala, vidyullekha raman"
manithan,"crime, drama",s.p. muthuraman,"delhi ganesh, jai ganesh, raghuvaran, rajinikanth"
mankatha,"action, crime, thriller",venkat prabhu,"ajith kumar, arjun sarja, trisha krishnan, premgi amaren"
mannan,"action, comedy, drama",p. vasu,"goundamani, ennatha kannaiya, kushboo, aachi manorama"
mappilai,"action, comedy",rajasekar,"amala akkineni, s.s. chandran, chiranjeevi, dileep"
mappillai,action,suraj,"dhanush, hansika motwani, manisha koirala, vivek"
maragatha nananya,"adventure, comedy, fantasy",ark saravan,"aadhi, anandraj, m.s. baskar, m.s. bhaskar"
maro charithra,"drama, romance",k. balachander,"kamal haasan, saritha, madhavi, sarath babu"
marumalarchi,drama,rajkumar,"mammootty, devayani, ranjith, aachi manorama"
marupadiyam,"drama, family",balu mahendra,"joy badlani, nizhalgal ravi, revathi, rohini"
marupakkam,drama,k.s. sethumadhavan,"achamilai gopi, jayabharati, radha, sivakumar"
maruthamalai,action,viswanathan ravichandran,"arjun sarja, meera chopra, vadivelu, raghuvaran"
maruthu,"action, drama",m. muthaiah,"vishal, sri divya, r.k. suresh, kulappulli leela"
maryan,"adventure, drama, romance",ganapathy bharat,"dhanush, parvathy thiruvothu, salim kumar, appukutty"
masss,"action, comedy, horror",venkat prabhu,"suriya, nayanthara, parthiban, samuthirakani"
may madham,"drama, musical, romance",venusbalu,"janakaraj, sonali kulkarni, aachi manorama, monica"
maya,"horror, thriller",ashwin saravanan,"nayanthara, aari, amzath khan, lakshmi priyaa chandramouli"
mayaavi,"comedy, drama",singampuli,"jyotika, roja, sathyan, himani shivpuri"
mayakkam enna,"drama, romance",k. selvaraghavan,"dhanush, richa langella, sunder ramu, mathivanan rajendran"
meen kuzhambum mann paanaiyum,"comedy, fantasy",amudeshver,"balaji, santhana bharathi, m.s. bhaskar, thalapathi dinesh"
meera,musical,p.c. sreeram,"aishwarya, delhi ganesh, janakaraj, venniradai moorthy"
mersal,"action, thriller",atlee kumar,"joseph vijay, s.j. suryah, kajal aggarwal, samantha ruth prabhu"
metro,"action, crime, thriller",ananda krishnan,"shirish, sathya, bobby simha, sendrayan"
meyaadha maan,romance,rathna kumar,"vaibhav reddy, priya bhavani shankar, vivek prasanna, indhuja ravichandran"
michael madana kama rajan,"comedy, musical",singeetam srinivasa rao,"kamal haasan, kushboo, urvashi, roobini"
minnale,"comedy, drama, musical",gautham vasudev menon,"madhavan, abbas, reema sen, nagesh"
minsaara kanavu,"comedy, drama, musical",rajiv menon,"arvind swamy, prabhu deva, kajol, nassar"
miruthan,"action, horror",shakti soundar rajan,"jayam ravi, lakshmi menon, kaali venkat, r.n.r. manohar"
moodar koodam,"comedy, drama, musical",naveen,"naveen, sendrayan, rajaj, kuberan"
moodupani,thriller,balu mahendra,"prathap pothen, shobha, malasia bhaskar, gandhimathi"
moondram pirai,"drama, romance",balu mahendra,"kamal haasan, sridevi, poornam vishwanathan, silk smitha"
